arrear test;3459;h;1980-02-02;20202020;test@;Konkurrencesvømmer;Betalt;Aktiv;
b a;5425;d;1980-02-02;20202020;t@;Konkurrencesvømmer;Betalt;Aktiv;
hans hansen;1862;h;1984-09-12;52525252;thomas@;Motionist;Ikke betalt;Aktiv;
HRH Quincy von Thunderbottom;6387; ;1969-09-06;72407111;hrh_q1@gov.au;Motionist;Ikke betalt;Inaktiv;
Mikkel;4236;H;1999-07-17;30481742;jfsjgf;Motionist;Ikke betalt;Inaktiv;
søren svømmer;4753;h;1984-12-12;20202020;bh@kl.com;Motionist;Ikke betalt;Aktiv;
test test;0576;h;1984-12-12;20202020;gh@.com;Konkurrencesvømmer;Ikke betalt;Aktiv;
thomas andersen;4558;h;1984-09-12;20202020;Thomas;Konkurrencesvømmer;Ikke betalt;Aktiv;
æsel;0355;d;1980-02-02;20202020;t@;Konkurrencesvømmer;Betalt;Aktiv;
asger;5292;h;1799-02-02;20202020;t@;Motionist;Betalt;Aktiv;
DameS1;1515;D;1980-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameS2;1516;D;1980-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameS3;1517;D;1980-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameS4;1518;D;1980-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameS5;1519;D;1980-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameJ1;1520;D;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameJ2;1521;D;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameJ2;1522;D;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameJ4;1523;D;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
DameJ5;1524;D;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
HerreJ1;1525;H;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
HerreJ2;1526;H;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
HerreJ3;1527;H;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
HerreJ4;1528;H;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
HerreJ5;1529;H;2010-03-03;20202020;D@;Konkurrencesvømmer;Betalt;Aktiv;
